browser_session_id	Referrer	LandingPage	SEARCH_TERM_FLAG	EXTERNAL_SEARCH_FLAG	INTERNAL_SEARCH_FLAG	Browser	OS	DayOfWeek	TimeofDay	TOS	NOP	Logged_in_status	ISP	QFF	CIS	SMARTPHONE	BRANDS	DEALS	PREPAID	RECHARGE	SIMCARD	NETWORK	BROADBAND	BUNDLE	HOMEPHONE	FIXEDLINE	PURCHASE_FLAG	geo_variable_region	device_details
1170365281853734-1365164441463	OTHER	HOME	0	0	0	MSIE	Windows	4	23	75	3	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
117159802900133-1364982451826	Google	PRODUCT	1	1	0	MSIE	Windows	2	20	92	5	0	Optus	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	SIMCARD	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	D
1171615195926278-1364767905088	OTHER	HOME	0	0	0	Safari	Mac	0	9	130	6	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1171776227729021-1364882515234	OTHER	HOME	0	0	0	MSIE	Windows	1	17	572	4	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1171973156742751-1364946744055	OTHER	HOME	0	0	0	Chrome	Windows	2	10	130	3	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1171993435815798-1365330995446	OTHER	HOME	0	0	0	MSIE	Windows	6	21	2430	4	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Victoria	U
1173197336029261-1364786687207	OTHER	HOME	0	0	0	Chrome	Mac	0	14	12	2	0	iiNet Limited	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Western Australia	U
1174420530442148-1364962331922	Google	HOME	1	1	0	Safari	Mac	2	15	38	3	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
1174542475491762-1365078987092	Google	PRODUCT	1	1	0	Chrome	Windows	3	23	370	7	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	BUNDLE	OTHER	OTHER	0	undefined	D
1174681693439287-1364830342222	OTHER	HOME	0	0	0	MSIE	Windows	0	11	10436	4	0	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
1174772328978009-1364899276854	Google	PRODUCT	0	0	0	MSIE	Windows	1	21	226	3	0	Optus	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	South Australia	D
1176276635378599-1365128797838	OTHER	HOME	0	0	0	Chrome	Windows	4	13	13339	6	0	OTHER	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Western Australia	U
1176278844941407-1365203476362	OTHER	HOME	0	0	0	Chrome	Windows	5	10	350	15	1	Telstra Internet	OTHER	OTHER	SMARTPHONE	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1177302862009772-1364879716887	Google	HOME	1	1	0	MSIE	Windows	1	16	334	8	1	iiNet Limited	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	undefined	U
1177356459826046-1365158622387	OTHER	PRODUCT	0	0	0	MSIE	Windows	4	21	20	2	0	iiNet Limited	OTHER	OTHER	OTHER	OTHER	OTHER	PREPAID	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	D
1177366294483759-1364847356822	OTHER	HOME	0	0	0	Firefox	Windows	1	7	176	9	1	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	BROADBAND	OTHER	OTHER	OTHER	0	New South Wales	U
1178485115524381-1364895534747	OTHER	HOME	0	0	0	Safari	Mac	1	20	584	4	1	Primus Telecommunications	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1178599911640693-1365135428288	OTHER	HOME	0	0	0	MSIE	Windows	4	15	1605	7	1	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	NETWORK	BROADBAND	OTHER	OTHER	OTHER	0	undefined	U
1178976207190825-1365062847410	OTHER	HOME	0	0	0	MSIE	Windows	3	19	6	2	0	Telstra Internet	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
1179216158769247-1365133605689	Google	HOME	1	1	0	MSIE	Windows	4	14	5462	9	1	Optus	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
1179565901220300-1364963647858	Google	HOME	1	1	0	MSIE	Windows	2	15	275	8	1	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	U
1179752897865792-1364783140428	OTHER	OTHER	0	0	0	MSIE	Windows	0	13	15861	6	0	Exetel	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	SIMCARD	OTHER	OTHER	OTHER	OTHER	OTHER	0	Queensland	D
1180236977525055-1364965070782	OTHER	HOME	0	0	0	Safari	Mac	2	15	503	3	1	TPG Internet Pty Ltd.	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	OTHER	0	New South Wales	U
